id,escenario,tiempo_servicio_mean,umbral_retraso,tasa_llegada_json,fecha_creacion
11,E3_demanda_x150,89.86236726294638,50.200000000000045,"{""0.0"": 20.494186046511615, ""1.0"": 15.26162790697674, ""2.0"": 17.00581395348837, ""3.0"": 18.75, ""4.0"": 18.75, ""5.0"": 14.389534883720925, ""6.0"": 15.69767441860464, ""7.0"": 14.825581395348824, ""8.0"": 21.802325581395348, ""9.0"": 19.1860465116279, ""10.0"": 25.290697674418603, ""11.0"": 18.313953488372086, ""12.0"": 23.982558139534877, ""13.0"": 13.95348837209301, ""14.0"": 18.75, ""15.0"": 17.44186046511627, ""16.0"": 17.44186046511627, ""17.0"": 15.69767441860464, ""18.0"": 19.1860465116279, ""19.0"": 14.825581395348824, ""20.0"": 16.569767441860456, ""21.0"": 20.058139534883715, ""22.0"": 20.93023255813953, ""23.0"": 17.44186046511627}",2026-05-23T19:12:37.731365
12,E4_estres_base,89.86236726294638,50.200000000000045,"{""0.0"": 0.1366279069767441, ""1.0"": 0.1017441860465116, ""2.0"": 0.1133720930232558, ""3.0"": 0.125, ""4.0"": 0.125, ""5.0"": 0.0959302325581395, ""6.0"": 0.1046511627906976, ""7.0"": 0.0988372093023255, ""8.0"": 0.1453488372093023, ""9.0"": 0.127906976744186, ""10.0"": 0.1686046511627907, ""11.0"": 0.1220930232558139, ""12.0"": 0.1598837209302325, ""13.0"": 0.0930232558139534, ""14.0"": 0.125, ""15.0"": 0.1162790697674418, ""16.0"": 0.1162790697674418, ""17.0"": 0.1046511627906976, ""18.0"": 0.127906976744186, ""19.0"": 0.0988372093023255, ""20.0"": 0.1104651162790697, ""21.0"": 0.1337209302325581, ""22.0"": 0.1395348837209302, ""23.0"": 0.1162790697674418}",2026-05-23T19:12:38.574961
13,E1_base_x50,89.86236726294638,140.06236726294642,"{""0.0"": 6.831395348837205, ""1.0"": 5.08720930232558, ""2.0"": 5.66860465116279, ""3.0"": 6.25, ""4.0"": 6.25, ""5.0"": 4.796511627906975, ""6.0"": 5.23255813953488, ""7.0"": 4.9418604651162745, ""8.0"": 7.267441860465115, ""9.0"": 6.3953488372092995, ""10.0"": 8.430232558139535, ""11.0"": 6.104651162790695, ""12.0"": 7.994186046511626, ""13.0"": 4.65116279069767, ""14.0"": 6.25, ""15.0"": 5.81395348837209, ""16.0"": 5.81395348837209, ""17.0"": 5.23255813953488, ""18.0"": 6.3953488372092995, ""19.0"": 4.9418604651162745, ""20.0"": 5.523255813953485, ""21.0"": 6.686046511627905, ""22.0"": 6.97674418604651, ""23.0"": 5.81395348837209}",2026-05-23T19:22:41.187262
14,E2_menos_camiones_x50,89.86236726294638,140.06236726294642,"{""0.0"": 6.831395348837205, ""1.0"": 5.08720930232558, ""2.0"": 5.66860465116279, ""3.0"": 6.25, ""4.0"": 6.25, ""5.0"": 4.796511627906975, ""6.0"": 5.23255813953488, ""7.0"": 4.9418604651162745, ""8.0"": 7.267441860465115, ""9.0"": 6.3953488372092995, ""10.0"": 8.430232558139535, ""11.0"": 6.104651162790695, ""12.0"": 7.994186046511626, ""13.0"": 4.65116279069767, ""14.0"": 6.25, ""15.0"": 5.81395348837209, ""16.0"": 5.81395348837209, ""17.0"": 5.23255813953488, ""18.0"": 6.3953488372092995, ""19.0"": 4.9418604651162745, ""20.0"": 5.523255813953485, ""21.0"": 6.686046511627905, ""22.0"": 6.97674418604651, ""23.0"": 5.81395348837209}",2026-05-23T19:22:41.562826
15,E3_demanda_x150,89.86236726294638,140.06236726294642,"{""0.0"": 20.494186046511615, ""1.0"": 15.26162790697674, ""2.0"": 17.00581395348837, ""3.0"": 18.75, ""4.0"": 18.75, ""5.0"": 14.389534883720925, ""6.0"": 15.69767441860464, ""7.0"": 14.825581395348824, ""8.0"": 21.802325581395348, ""9.0"": 19.1860465116279, ""10.0"": 25.290697674418603, ""11.0"": 18.313953488372086, ""12.0"": 23.982558139534877, ""13.0"": 13.95348837209301, ""14.0"": 18.75, ""15.0"": 17.44186046511627, ""16.0"": 17.44186046511627, ""17.0"": 15.69767441860464, ""18.0"": 19.1860465116279, ""19.0"": 14.825581395348824, ""20.0"": 16.569767441860456, ""21.0"": 20.058139534883715, ""22.0"": 20.93023255813953, ""23.0"": 17.44186046511627}",2026-05-23T19:22:41.926249
16,E4_estres_base,89.86236726294638,140.06236726294642,"{""0.0"": 0.1366279069767441, ""1.0"": 0.1017441860465116, ""2.0"": 0.1133720930232558, ""3.0"": 0.125, ""4.0"": 0.125, ""5.0"": 0.0959302325581395, ""6.0"": 0.1046511627906976, ""7.0"": 0.0988372093023255, ""8.0"": 0.1453488372093023, ""9.0"": 0.127906976744186, ""10.0"": 0.1686046511627907, ""11.0"": 0.1220930232558139, ""12.0"": 0.1598837209302325, ""13.0"": 0.0930232558139534, ""14.0"": 0.125, ""15.0"": 0.1162790697674418, ""16.0"": 0.1162790697674418, ""17.0"": 0.1046511627906976, ""18.0"": 0.127906976744186, ""19.0"": 0.0988372093023255, ""20.0"": 0.1104651162790697, ""21.0"": 0.1337209302325581, ""22.0"": 0.1395348837209302, ""23.0"": 0.1162790697674418}",2026-05-23T19:22:42.805432
17,E1_base_x50,89.86236726294638,140.06236726294642,"{""0.0"": 6.831395348837205, ""1.0"": 5.08720930232558, ""2.0"": 5.66860465116279, ""3.0"": 6.25, ""4.0"": 6.25, ""5.0"": 4.796511627906975, ""6.0"": 5.23255813953488, ""7.0"": 4.9418604651162745, ""8.0"": 7.267441860465115, ""9.0"": 6.3953488372092995, ""10.0"": 8.430232558139535, ""11.0"": 6.104651162790695, ""12.0"": 7.994186046511626, ""13.0"": 4.65116279069767, ""14.0"": 6.25, ""15.0"": 5.81395348837209, ""16.0"": 5.81395348837209, ""17.0"": 5.23255813953488, ""18.0"": 6.3953488372092995, ""19.0"": 4.9418604651162745, ""20.0"": 5.523255813953485, ""21.0"": 6.686046511627905, ""22.0"": 6.97674418604651, ""23.0"": 5.81395348837209}",2026-05-23T19:28:56.983421
18,E2_menos_camiones_x50,89.86236726294638,140.06236726294642,"{""0.0"": 6.831395348837205, ""1.0"": 5.08720930232558, ""2.0"": 5.66860465116279, ""3.0"": 6.25, ""4.0"": 6.25, ""5.0"": 4.796511627906975, ""6.0"": 5.23255813953488, ""7.0"": 4.9418604651162745, ""8.0"": 7.267441860465115, ""9.0"": 6.3953488372092995, ""10.0"": 8.430232558139535, ""11.0"": 6.104651162790695, ""12.0"": 7.994186046511626, ""13.0"": 4.65116279069767, ""14.0"": 6.25, ""15.0"": 5.81395348837209, ""16.0"": 5.81395348837209, ""17.0"": 5.23255813953488, ""18.0"": 6.3953488372092995, ""19.0"": 4.9418604651162745, ""20.0"": 5.523255813953485, ""21.0"": 6.686046511627905, ""22.0"": 6.97674418604651, ""23.0"": 5.81395348837209}",2026-05-23T19:28:57.342508
19,E3_demanda_x150,89.86236726294638,140.06236726294642,"{""0.0"": 20.494186046511615, ""1.0"": 15.26162790697674, ""2.0"": 17.00581395348837, ""3.0"": 18.75, ""4.0"": 18.75, ""5.0"": 14.389534883720925, ""6.0"": 15.69767441860464, ""7.0"": 14.825581395348824, ""8.0"": 21.802325581395348, ""9.0"": 19.1860465116279, ""10.0"": 25.290697674418603, ""11.0"": 18.313953488372086, ""12.0"": 23.982558139534877, ""13.0"": 13.95348837209301, ""14.0"": 18.75, ""15.0"": 17.44186046511627, ""16.0"": 17.44186046511627, ""17.0"": 15.69767441860464, ""18.0"": 19.1860465116279, ""19.0"": 14.825581395348824, ""20.0"": 16.569767441860456, ""21.0"": 20.058139534883715, ""22.0"": 20.93023255813953, ""23.0"": 17.44186046511627}",2026-05-23T19:28:57.723399
20,E4_estres_base,89.86236726294638,140.06236726294642,"{""0.0"": 0.1366279069767441, ""1.0"": 0.1017441860465116, ""2.0"": 0.1133720930232558, ""3.0"": 0.125, ""4.0"": 0.125, ""5.0"": 0.0959302325581395, ""6.0"": 0.1046511627906976, ""7.0"": 0.0988372093023255, ""8.0"": 0.1453488372093023, ""9.0"": 0.127906976744186, ""10.0"": 0.1686046511627907, ""11.0"": 0.1220930232558139, ""12.0"": 0.1598837209302325, ""13.0"": 0.0930232558139534, ""14.0"": 0.125, ""15.0"": 0.1162790697674418, ""16.0"": 0.1162790697674418, ""17.0"": 0.1046511627906976, ""18.0"": 0.127906976744186, ""19.0"": 0.0988372093023255, ""20.0"": 0.1104651162790697, ""21.0"": 0.1337209302325581, ""22.0"": 0.1395348837209302, ""23.0"": 0.1162790697674418}",2026-05-23T19:28:58.591865
